date,segment,balance,deposit_rate,policy_rate
2024-02-01,commercial_demand,67219260.0,2.069,12.5
2024-03-01,commercial_demand,71161650.0,2.077,12.5
2024-04-01,commercial_demand,68089023.0,2.054,12.5
2024-05-01,commercial_demand,61757460.0,2.092,12.5
2024-06-01,commercial_demand,58355625.0,2.067,12.5
2024-07-01,commercial_demand,59499541.0,2.309,13.0
2024-08-01,commercial_demand,58446338.0,2.273,13.0
2024-09-01,commercial_demand,59339456.0,2.273,13.0
2024-10-01,commercial_demand,53947112.0,2.28,13.0
2024-11-01,commercial_demand,53466619.0,2.289,13.0
2024-12-01,commercial_demand,55815943.0,2.282,13.0
2025-01-01,commercial_demand,55152708.0,2.266,13.0
2025-02-01,commercial_demand,52164060.0,2.282,13.0
2025-03-01,commercial_demand,53872856.0,1.99,12.5
2025-04-01,commercial_demand,55383169.0,1.965,12.5
2025-05-01,commercial_demand,53464268.0,1.993,12.5
2025-06-01,commercial_demand,51249499.0,1.997,12.5
2025-07-01,commercial_demand,54199601.0,2.281,13.0
2025-08-01,commercial_demand,53312104.0,2.294,13.0
2025-09-01,commercial_demand,53702405.0,2.282,13.0
2025-10-01,commercial_demand,58956590.0,2.272,13.0
2025-11-01,commercial_demand,60195244.0,2.835,14.0
2025-12-01,commercial_demand,59264857.0,2.822,14.0
2026-01-01,commercial_demand,53956716.0,2.829,14.0
2026-02-01,commercial_demand,53558664.0,2.827,14.0
2026-03-01,commercial_demand,52516781.0,3.078,14.5
2026-04-01,commercial_demand,50091289.0,3.098,14.5
2026-05-01,commercial_demand,51347379.0,3.072,14.5
2026-06-01,commercial_demand,47861714.0,3.076,14.5
